1;Hoeveel tenen heeft een struisvogel aan een poot?;2;3;4;5
64;Een koe heeft vier magen: de pens, lebmaag, netmaag en de …;boekmaag;grasmaag;hetmaag;nepmaag
65;Mieren melken …;bladluizen;geiten;koeien;niet
66;Waar komt de zwartvoetpinguïn voor?;Zuid-Afrika;Antarctica;Falklandeilanden ;Nieuw-Zeeland
67;Hoeveel verschillende soorten amfibieën zijn er bekend? ;Ongeveer 7000;Ongeveer 2000;Ongeveer 5000;Ongeveer 9000
68;Welke ziekte kan overgebracht worden door een mug?;Dengue;Verkoudheid;Griep;Oorontsteking
69;Hoe slapen dolfijnen?;De hersenhelften slapen om de beurt;Op de zeebodem;Een dolfijn slaapt niet ;Op het strand
70;"""Het … achter de wagen spannen""  ";paard;ezel;koe ;os
71;Wat is GEEN amfibie?;Krokodil;Kikker;Salamander;Pad
72;"""Daar komt de … uit de mouw!""";aap;hond;kat;papegaai
73;"""Leven als ... en hond"" ";kat;rat;muis;parkiet
74;"""Als de ... van huis is, dansen de muizen"" ";kat;rat;hond;parkiet
75;Welke vogel is GEEN roofvogel?;Kraai;Torenvalk;Arend;Sperwer
76;Als je lijdt aan anatidaephobia, dan ben je bang voor …;eenden;olifanten;ananas;spinnen
77;Waar komt de neusaap voor?;Borneo;Madagaskar;Maleisië;Suriname
78;"""Een … stoot zich geen tweemaal aan dezelfde steen"" ";ezel;paard;geit;varken
79;"""In de … gelogeerd zijn"" ";aap;kip;hond;varken
80;Hoe ademen vliegen?;Via hun buizenstelsel;Via hun longen;Via hun darmwand;Via hun oorschelp
81;Je weet nooit hoe een koe een … vangt.;haas;wortel;krop sla;vis  
82;"""De … uit de boom kijken"" ";Kat;aap;eekhoorn ;vogel
83;Welk zoogdier kan vliegen?;Vleermuis;vliegende vis;Eend;Vogelbekdier
84;Je bent zo gezond als een …;vis;aap;kip;wasbeertje
85;Zo slim als een …;vos;konijn;wolf;wasbeertje
86;Wat is de snelste vogel in duikvlucht?;De slechtvalk;Havik;Buizerd;Wespendief
87;Wat is de kleinste neushoornsoort?;Sumatraanse neushoorn;Javaanse neushoorn;Zwarte neushoorn;Witte neushoorn
88;Hoe wordt de kiwi (vogel) ook wel genoemd?;Snipstruis;Vogelbekdier;Glanskop;Zebravink
